Название;Бренд;Категория;Описание;Цена_предоплата;Цена_рассрочка;Фасовка;Фото_есть;Файл_фото;Цена_итог;Для_B2B
FERTIKA Эко Калий;Фертика;Удобрения;Бесхлорное калийное удобрение растительного происхождения с серой и магнием.;48;;;Есть;FERTIKA/FERTIKA — Эко Калий K2O-37 S Mg — упаковка.jpg;от 48 ₽;да
FERTIKA Сульфат калия;Фертика;Удобрения;Концентрированное бесхлорное калийное удобрение с серой.;103;;;Есть;FERTIKA/FERTIKA — Сульфат калия K2O-50 S — упаковка.jpg;от 103 ₽;да
Микромак;Волски Биохим;Обработка семян;Комплексное микроудобрение для обработки семян, повышения всхожести и развития корней.;645.7;690;см. прайс;Есть;Волски Биохим/Волски Биохим — Микромак — упаковка.jpg;от 645.7 ₽;да
Экомак;Волски Биохим;Обработка семян;Стартовое микроудобрение для обработки семян и повышения устойчивости всходов.;724.5;775;см. прайс;Есть;Волски Биохим/Волски Биохим — Экомак — упаковка.jpg;от 724.5 ₽;да
Микроэл Универсальный;Волски Биохим;Листовые подкормки;Комплексное микроудобрение для листовых подкормок и коррекции дефицитов.;651;696;см. прайс;Есть;Волски Биохим/Волски Биохим — Микроэл — упаковка.jpg;от 651 ₽;да
Микроэл Пивоваренный ячмень;Волски Биохим;Листовые подкормки;Специализированное микроудобрение для питания пивоваренного ячменя.;651;;;Частично;Волски Биохим/Волски Биохим — Микроэл — упаковка.jpg;от 651 ₽;да
Страда N;Волски Биохим;Листовые подкормки;Жидкое азотное удобрение с микроэлементами для роста вегетативной массы.;409.5;439;см. прайс;Есть;Волски Биохим/Волски Биохим — Страда N — упаковка.jpg;от 409.5 ₽;да
Страда P;Волски Биохим;Листовые подкормки;Жидкое фосфорное удобрение для развития корней, цветения и плодоношения.;577.5;618;см. прайс;Есть;Волски Биохим/Волски Биохим — Страда P — упаковка.jpg;от 577.5 ₽;да
Страда K;Волски Биохим;Листовые подкормки;Жидкое калийное удобрение для качества и лёжкости урожая.;332.5;355.7;см. прайс;Есть;;от 332.5 ₽;да
Волски Моно-Сера;Волски Биохим;Листовые подкормки;Высококонцентрированное серное удобрение для серолюбивых культур.;490;;;Есть;Волски Биохим/Волски Биохим — Моно-Сера — упаковка.jpg;от 490 ₽;да
Волски Моно-Бор;Волски Биохим;Листовые подкормки;Борное микроудобрение для цветения, опыления и формирования завязей.;760;;;Есть;Волски Биохим/Волски Биохим — Моно-Бор — упаковка.jpg;от 760 ₽;да
Волски Моно-Цинк;Волски Биохим;Листовые подкормки;Цинковое микроудобрение для роста, фотосинтеза и стрессоустойчивости.;728;;;Есть;Волски Биохим/Волски Биохим — Моно-Цинк — упаковка.jpg;от 728 ₽;да
Волски Моно-Железо;Волски Биохим;Листовые подкормки;Хелатное железосодержащее микроудобрение для профилактики хлороза.;430;;;Есть;Волски Биохим/Волски Биохим — Моно-Железо — упаковка.jpg;от 430 ₽;да
Волски Моно-Медь;Волски Биохим;Листовые подкормки;Хелатное медное микроудобрение для обменных процессов и устойчивости.;465;;;Есть;Волски Биохим/Волски Биохим — Моно-Медь — упаковка.jpg;от 465 ₽;да
Диформа Бор-Молибден;Волски Биохим;Листовые подкормки;Микроудобрение с бором и молибденом для цветения и азотного обмена.;1290;1355;см. прайс;Есть;Волски Биохим/Волски Биохим — Диформа Бор-Молибден — упаковка.jpg;от 1290 ₽;да
Диформа Кальций-Азот;Волски Биохим;Листовые подкормки;Удобрение с кальцием и азотом для прочности тканей и качества плодов.;650;682.5;см. прайс;Есть;Волски Биохим/Волски Биохим — Диформа Кальций-Азот — упаковка.jpg;от 650 ₽;да
Диформа Магний-Цинк;Волски Биохим;Листовые подкормки;Микроудобрение с магнием и цинком для фотосинтеза и стрессоустойчивости.;653;685;см. прайс;Есть;Волски Биохим/Волски Биохим — Диформа Магний-Марганец — упаковка.jpg;от 653 ₽;да
Диформа Магний-Марганец;Волски Биохим;Листовые подкормки;Микроудобрение с магнием и марганцем для фотосинтеза и ферментативных процессов.;520;545;см. прайс;Есть;Волски Биохим/Волски Биохим — Диформа Магний-Марганец — упаковка.jpg;от 520 ₽;да
Диформа Марганец-Цинк;Волски Биохим;Листовые подкормки;Микроудобрение с марганцем и цинком для роста и фотосинтеза.;605;775;см. прайс;Есть;Волски Биохим/Волски Биохим — Диформа Марганец-Бор — упаковка.jpg;от 605 ₽;да
Диформа Марганец-Бор;Волски Биохим;Листовые подкормки;Микроудобрение с марганцем и бором для цветения и формирования урожая.;1290;1355;см. прайс;Есть;Волски Биохим/Волски Биохим — Диформа Марганец-Бор — упаковка.jpg;от 1290 ₽;да
Диформа Кремний-Калий;Волски Биохим;Листовые подкормки;Удобрение с кремнием и калием для прочности тканей и стрессоустойчивости.;695;730;см. прайс;Есть;Волски Биохим/Волски Биохим — Диформа Кремний-Калий — упаковка.jpg;от 695 ₽;да
Диформа Кобальт-Селен;Волски Биохим;Листовые подкормки;Микроудобрение с кобальтом и селеном для азотфиксации и антистрессовой защиты.;1020;1070;см. прайс;Есть;Волски Биохим/Волски Биохим — Диформа Кобальт-Селен — упаковка.jpg;от 1020 ₽;да
Реликт Р Старт (протравитель);Реликт;Обработка семян;Гуминовый препарат с микроэлементами и Bacillus для предпосевной обработки семян.;735;786;см. прайс;Есть;;от 735 ₽;да
Реликт Р;Реликт;Листовые подкормки;Гуминово-фульвовый стимулятор для повышения урожайности и стрессоустойчивости.;615;658;см. прайс;Есть;"Реликт ДВ/Реликт ДВ — Реликт Р &#8212; для растений — упаковка.jpg";от 615 ₽;да
Реликт М Молибден;Реликт;Листовые подкормки;Молибденовое микроудобрение с аминокислотами для азотного обмена.;1340;1407;раствор;Есть;;от 1340 ₽;да
Реликт М Сера;Реликт;Листовые подкормки;Серное удобрение для синтеза аминокислот, белка и повышения урожайности.;730;766.5;раствор;Есть;;от 730 ₽;да
Реликт М Бор;Реликт;Листовые подкормки;Борное микроудобрение для цветения, опыления и формирования плодов.;765;803.2;раствор;Есть;;от 765 ₽;да
Реликт М Цинк;Реликт;Листовые подкормки;Цинковое удобрение с аминокислотами для фотосинтеза и качества урожая.;695;730;раствор;Есть;;от 695 ₽;да
Реликт М Кремний;Реликт;Листовые подкормки;Кремниевое удобрение с калием для укрепления растений и стрессоустойчивости.;470;495;раствор;Есть;;от 470 ₽;да
Микроэл;Волски Биохим;Листовые подкормки;Комплексное микроудобрение для листовых подкормок и поддержки фотосинтеза.;651;696;см. прайс;Есть;Волски Биохим/Волски Биохим — Микроэл — упаковка.jpg;от 651 ₽;да
Моно-Бор;Волски Биохим;Листовые подкормки;Борное микроудобрение для формирования цветков и плодов.;760;798;см. прайс;Есть;Волски Биохим/Волски Биохим — Моно-Бор — упаковка.jpg;от 760 ₽;да
Моно-Цинк;Волски Биохим;Листовые подкормки;Цинковое микроудобрение для фотосинтеза и устойчивого роста.;728;764.4;см. прайс;Есть;Волски Биохим/Волски Биохим — Моно-Цинк — упаковка.jpg;от 728 ₽;да
Моно-Железо;Волски Биохим;Листовые подкормки;Хелатное железосодержащее микроудобрение для профилактики хлороза.;430;451.5;см. прайс;Есть;Волски Биохим/Волски Биохим — Моно-Железо — упаковка.jpg;от 430 ₽;да
Моно-Сера;Волски Биохим;Листовые подкормки;Серное удобрение для эффективного азотного питания и качества урожая.;490;514.5;см. прайс;Есть;Волски Биохим/Волски Биохим — Моно-Сера — упаковка.jpg;от 490 ₽;да
Моно-Медь;Волски Биохим;Листовые подкормки;Хелатное медное микроудобрение для обменных процессов и устойчивости.;465;488;см. прайс;Есть;Волски Биохим/Волски Биохим — Моно-Медь — упаковка.jpg;от 465 ₽;да
Relict Р Старт;Реликт;Удобрения;Гуминовый препарат с микроэлементами и Bacillus для обработки семян.;735;;;Частично;;от 735 ₽;да
Relict Макро N Mg+;Реликт;Удобрения;Азотно-серно-магниевое удобрение для листовых подкормок.;;;;Нет;;Цена по запросу;да
Relict Макро PK;Реликт;Удобрения;Фосфорно-калийное удобрение для налива и качества урожая.;;;;Нет;;Цена по запросу;да
OYYO Альфа Аминостарт;OYYO;Удобрения;Органоминеральное удобрение с аминокислотами для стартового развития.;;;;Нет;;Цена по запросу;да
OYYO Альфа Аминобиостим;OYYO;Удобрения;Органоминеральное удобрение для активного роста и восстановления.;;;;Нет;;Цена по запросу;да
OYYO Альфа Аминофиниш;OYYO;Удобрения;Высококалийное органоминеральное удобрение для налива урожая.;;;;Нет;;Цена по запросу;да
OYYO Альфа Старт;OYYO;Удобрения;Органоминеральное удобрение для начальных фаз роста и корней.;;;;Нет;;Цена по запросу;да
OYYO Биогель Амино;OYYO;Удобрения;Органоминеральное удобрение с аминокислотами и гуминовыми веществами.;;;;Нет;;Цена по запросу;да
OYYO Биогель Профи;OYYO;Удобрения;Комплексное органоминеральное удобрение с макро- и микроэлементами.;;;;Нет;;Цена по запросу;да
OYYO Биогель Биостим;OYYO;Удобрения;Комплексное удобрение с повышенным калием и органическими компонентами.;;;;Нет;;Цена по запросу;да
OYYO Биогель Форте;OYYO;Удобрения;NPK-удобрение с органическими веществами и стимуляторами роста.;;;;Нет;;Цена по запросу;да
OYYO Биогель Актив;OYYO;Удобрения;Фосфорное органоминеральное удобрение для корней и стартовых процессов.;;;;Нет;;Цена по запросу;да
OYYO Биогель Универсал;OYYO;Удобрения;Универсальное комплексное удобрение для различных культур.;;;;Нет;;Цена по запросу;да
OYYO Биогель Старт;OYYO;Удобрения;Стартовое удобрение с фосфором и кальцием для корневой системы.;;;;Нет;;Цена по запросу;да
OYYO Биогель Комплекс;OYYO;Удобрения;Комплексное органоминеральное удобрение с макро- и микроэлементами.;;;;Нет;;Цена по запросу;да
